Date,"A001 ,Bicentennial Bikeway, Auchenflower ,Pedestrians","A001 ,Bicentennial Bikeway, Auchenflower ,Cyclists","A019 ,Bicentennial Bikeway, Milton ,Pedestrians","A019 ,Bicentennial Bikeway, Milton ,Cyclists","A002 ,Bishop Street, Kelvin Grove ,Pedestrians","A002 ,Bishop Street, Kelvin Grove ,Cyclists","A023 ,Botanic Gardens, City ,Pedestrians","A023 ,Botanic Gardens, City ,Cyclists","A003 ,Ekibin Park, Greenslopes ,Pedestrians","A003 ,Ekibin Park, Greenslopes ,Cyclists","A004N ,Eleanor Schonell Br, St Lucia ,Cyclists","A004S ,Eleanor Schonell Br, St Lucia ,Pedestrians","A005W ,Go Between Br , South Brisbane ,Cyclists","A006 ,Granville St Bridge, Herston ,Pedestrians","A006 ,Granville St Bridge, Herston ,Cyclists","A020 ,Gympie Rd (Marchant Park), Chermside ,Pedestrians","A020 ,Gympie Rd (Marchant Park), Chermside ,Cyclists","A007 ,Jack Pesch Bridge, Indooroopilly ,Pedestrians","A007 ,Jack Pesch Bridge, Indooroopilly ,Cyclists","A008 ,Kangaroo Point Bikeway, Kangaroo Point ,Pedestrians","A008 ,Kangaroo Point Bikeway, Kangaroo Point ,Cyclists","A009 ,Kedron Brook Bikeway, Lutwyche ,Pedestrians","A009 ,Kedron Brook Bikeway, Lutwyche ,Cyclists","A010 ,Kedron Brook Bikeway, Mitchelton ,Pedestrians","A010 ,Kedron Brook Bikeway, Mitchelton ,Cyclists","A011 ,Lambert Rd, Indooroopilly ,Cyclists","A021 ,Lores Bonney Riverwalk, Hamilton ,Pedestrians","A021 ,Lores Bonney Riverwalk, Hamilton ,Cyclists","A018 ,Macquarie Street, St Lucia ,Pedestrians","A018 ,Macquarie Street, St Lucia ,Cyclists","A017 ,Norman Creek Bridge, Norman Park ,Pedestrians","A017 ,Norman Creek Bridge, Norman Park ,Cyclists","A012 ,North Brisbane Bikeway (Mann Park), Windsor ,Pedestrians","A012 ,North Brisbane Bikeway (Mann Park), Windsor ,Cyclists","A013 ,Riverwalk, Newfarm ,Pedestrians","A013 ,Riverwalk, Newfarm ,Cyclists","A014 ,Schulz Canal Bridge, Nundah ,Pedestrians","A014 ,Schulz Canal Bridge, Nundah ,Cyclists","A022 ,Stanley Street, South Brisbane ,Cyclists","A016E ,Story Bridge, Kangaroo Point ,Pedestrians","A016E ,Story Bridge, Kangaroo Point ,Cyclists","A016W ,Story Bridge, Kangaroo Point ,Pedestrians","A016W ,Story Bridge, Kangaroo Point ,Cyclists"
1/01/2019,1325,1789,1287,1861,395,74,,,483,218,688,368,962,143,111,,,192,426,2497,890,1028,783,243,184,327,,,522,456,155,7,80,153,,,68,200,,357,394,799,
2/01/2019,1335,2956,1109,3195,232,128,,,606,288,1150,716,1270,205,364,,,327,644,2457,994,749,831,258,267,553,,,554,723,165,9,239,429,,,79,218,,280,642,502,
3/01/2019,1254,2328,1021,2563,226,116,,,588,253,927,1055,928,178,324,,,253,326,2172,785,710,702,281,199,323,,,418,582,137,9,224,387,,,327,199,,233,576,571,
4/01/2019,1313,3101,940,3381,220,112,,,562,250,1223,855,1337,145,341,,,403,797,2380,1079,637,677,231,182,599,,,489,798,157,15,224,397,,,48,206,,241,761,526,
5/01/2019,1262,2438,1051,2716,308,108,,,853,326,813,542,1326,191,170,,,338,672,2555,1015,1057,953,262,237,434,,,468,655,116,10,139,217,,,68,190,,252,602,649,
6/01/2019,1420,2820,1093,3000,202,152,,,621,332,885,511,1335,108,220,,,222,688,2996,1220,840,1088,251,253,430,,,457,716,198,15,147,271,,,72,236,,255,654,639,
7/01/2019,1404,2895,1076,3252,215,150,,,728,312,1220,1145,1094,196,547,,,222,465,2153,1039,757,715,290,209,420,,,648,632,190,17,291,560,,,70,164,,246,771,553,
8/01/2019,1572,3687,1030,4279,251,153,,,603,336,1509,1185,1549,200,609,,,370,696,2379,1197,806,848,266,264,574,,,640,769,180,14,333,663,,,69,260,,296,815,574,
9/01/2019,1550,3699,984,4318,225,154,,,664,280,1474,1210,1481,217,589,,,319,713,2314,1304,867,822,244,206,641,,,651,823,155,16,346,645,,,56,233,,283,958,581,
10/01/2019,1421,3153,992,3702,250,138,,,560,293,1382,1012,1327,184,535,,,282,460,2256,1181,733,765,243,205,479,,,559,678,173,11,287,575,,,52,208,,323,880,581,
11/01/2019,1327,3603,1151,4141,197,153,,,552,283,1422,786,1565,213,562,,,381,864,2223,1252,674,784,240,224,673,,,602,843,158,15,290,495,,,301,231,,316,964,550,
12/01/2019,1260,2736,1249,3029,311,100,,,1159,287,930,433,1596,161,215,,,359,827,2646,1120,1169,897,244,210,613,,,521,744,145,11,117,262,,,724,170,,324,629,693,
13/01/2019,1489,2875,1215,3081,168,136,,,565,396,889,461,1399,136,206,,,317,755,3180,1324,793,1165,246,209,510,,,583,808,132,7,143,312,,,847,189,,331,670,776,
14/01/2019,1594,3678,1249,4153,213,162,,,655,298,1492,951,1381,223,630,,,291,516,2512,1285,917,824,235,246,522,,,808,555,189,14,340,602,,,544,215,,370,953,560,
15/01/2019,1664,4403,1163,4936,281,152,,,671,353,1774,993,1803,181,708,,,370,855,2452,1427,792,926,278,286,754,,,612,981,187,20,357,694,,,113,324,,351,1094,569,
16/01/2019,1522,3939,1195,4562,240,153,,,551,280,1699,749,1632,194,704,,,313,792,2436,1335,731,809,187,239,929,,,620,926,190,14,319,613,,,78,234,,325,1063,560,
17/01/2019,1500,3911,1235,4418,244,154,,,570,305,1689,786,1602,195,620,,,287,655,2288,1293,697,801,203,222,628,,,551,932,204,13,294,556,,,68,271,,315,1021,651,
18/01/2019,1120,3753,923,4245,260,130,,,476,321,1527,797,1728,207,532,,,373,848,2194,1374,584,834,233,207,717,,,544,888,133,29,284,491,,,69,202,,359,943,552,
19/01/2019,1219,2664,978,2973,235,69,,,1103,296,862,436,1556,105,186,,,313,776,2619,1204,1024,1001,256,189,661,,,484,735,132,7,145,225,,,66,267,,299,616,666,
20/01/2019,1451,2787,1030,2958,146,119,,,477,396,926,411,1441,118,151,,,240,836,2742,1145,686,1039,215,177,607,,,479,779,121,14,123,215,,,111,285,,330,569,706,
21/01/2019,1582,3668,1232,4182,215,165,,,595,301,1625,806,1325,191,653,,,231,511,2437,1367,869,727,244,218,543,,,518,904,192,16,327,554,,,56,213,,367,1018,557,
22/01/2019,1573,4611,1086,5194,189,170,,,592,352,1766,902,1828,183,696,,,335,792,2521,1574,794,957,274,222,741,,,500,1067,170,23,343,618,,,306,233,,337,1140,580,
23/01/2019,1324,4221,1080,4779,189,181,,,502,295,1675,768,1614,174,689,,,281,783,2147,1399,668,851,194,221,725,,,533,957,144,24,306,537,,,42,246,,311,1056,489,
24/01/2019,1350,3963,1138,4511,216,157,,,447,318,1610,680,1500,182,612,,,268,742,2151,1346,615,729,156,188,669,,,494,957,124,19,266,501,,,66,219,,366,985,543,
25/01/2019,885,3559,761,4161,162,127,,,410,227,1379,683,1593,125,495,,,261,979,1658,1087,512,747,194,175,715,,,409,867,127,15,255,402,,,34,194,,250,800,495,
26/01/2019,994,2458,857,2686,328,108,,,990,278,844,343,1274,114,205,,,270,810,2183,944,902,827,183,219,697,,,409,657,89,10,103,178,,,40,203,,301,585,710,
27/01/2019,1087,2391,940,2482,172,113,,,423,271,819,365,1103,91,133,,,293,751,2457,1052,578,908,198,180,629,,,476,637,92,7,98,186,,,44,217,,328,531,722,
28/01/2019,1365,2529,1075,2786,202,134,,,633,386,918,378,1290,150,227,,,284,711,2614,1101,793,1144,320,239,490,,,510,788,154,12,163,292,,,59,302,,275,513,604,
29/01/2019,1511,3845,1099,4382,220,142,,,610,304,1653,936,1493,189,606,,,259,632,2056,1303,777,950,237,224,575,,,532,947,278,20,301,607,,,54,259,,304,964,472,
30/01/2019,1351,4253,980,4878,252,203,,,661,316,1637,864,1642,208,692,,,440,765,2120,1415,842,920,193,239,634,,,550,1025,253,19,324,635,,,53,273,,369,1082,496,
31/01/2019,1241,4173,963,4641,193,177,,,569,316,1697,826,1604,201,721,,,389,748,2074,1348,700,870,225,234,740,,,549,998,251,20,351,557,,,83,263,,334,1060,478,
1/02/2019,975,3966,984,4536,189,143,,,475,238,1484,729,1712,174,593,,,393,1045,1840,1238,590,814,187,201,929,,,510,911,185,26,304,479,,,77,214,,287,912,550,
2/02/2019,338,1290,994,2582,476,77,,,1162,314,821,467,1417,125,175,,,266,688,2355,790,1044,809,183,158,635,,,467,663,174,12,128,218,,,61,164,,253,563,590,
3/02/2019,0,0,1101,2863,222,167,,,692,394,938,833,1361,179,251,,,336,786,2677,1242,906,1262,296,259,644,,,603,833,97,11,143,240,,,249,250,,297,606,810,
4/02/2019,0,0,1057,3779,278,156,,,703,223,1389,1317,1245,258,622,,,352,439,2028,1095,773,799,222,214,464,,,623,838,214,23,354,556,,,94,194,,307,863,556,
5/02/2019,0,0,1003,4926,261,177,,,630,281,1768,1164,1616,203,720,,,429,715,2263,1349,791,872,221,248,706,,,547,1046,200,19,355,642,,,119,236,,301,1081,624,
6/02/2019,0,0,981,2584,203,106,,,464,159,1078,1452,858,201,389,,,232,255,1818,727,458,443,157,103,312,,,534,527,154,16,207,428,,,62,131,,293,613,470,
7/02/2019,0,0,1064,3801,236,138,,,646,215,1514,1306,1269,250,596,,,304,448,2092,1159,565,781,195,221,519,,,588,839,174,9,283,596,,,59,198,,281,923,581,
8/02/2019,0,0,761,3411,234,148,,,524,221,1246,1266,1263,225,506,,,327,508,1698,940,568,635,155,183,550,,,555,773,130,15,261,455,,,52,169,,340,806,661,
9/02/2019,0,0,1098,2982,319,108,,,1271,257,857,514,1499,124,189,,,371,869,2400,1069,980,940,239,197,812,,,554,734,134,24,137,196,,,115,193,,310,583,724,
10/02/2019,0,0,1271,3220,188,127,,,527,348,1095,529,1412,130,234,,,291,880,2834,1258,755,1149,211,266,818,,,619,926,75,18,146,219,,,161,247,,287,672,817,
11/02/2019,0,0,1051,4230,281,203,,,596,305,1523,1091,1296,239,727,,,334,635,2145,1244,818,770,220,222,638,,,565,993,180,14,373,632,,,61,210,,279,927,520,
12/02/2019,0,0,976,4849,266,177,,,490,302,1788,1188,1615,173,676,,,399,828,1913,1411,694,846,203,194,753,,,704,1061,133,29,377,505,,,157,256,,250,1087,569,
13/02/2019,0,0,893,4431,134,156,,,439,245,1572,636,1569,172,668,,,307,771,1820,1240,549,775,142,220,727,,,477,942,132,20,313,419,,,238,214,,297,956,517,
14/02/2019,0,0,1016,4308,166,161,,,478,251,1564,1045,1482,187,594,,,268,708,1965,1173,588,767,182,230,649,,,503,873,141,9,313,545,,,453,220,,274,1029,557,
15/02/2019,0,0,950,4263,218,164,,,511,246,1519,1036,1558,219,566,,,433,838,1853,1138,650,735,163,227,781,,,538,928,199,24,249,571,,,203,176,,251,844,586,
16/02/2019,0,0,1213,2932,372,109,,,1288,271,893,702,1327,166,185,,,344,815,2642,1034,1065,911,248,207,740,,,568,796,130,17,125,213,,,185,203,,291,601,758,
17/02/2019,0,0,1262,3165,267,173,,,724,429,1035,738,1455,142,234,,,346,851,3209,1354,862,1403,275,194,656,,,658,912,138,12,189,307,,,376,344,,307,619,803,
18/02/2019,0,0,1195,4349,289,184,,,636,267,1716,1424,1408,279,713,,,339,575,2374,1257,890,816,210,237,565,,,697,1006,225,16,378,609,,,416,208,,310,934,599,
19/02/2019,0,0,1306,5111,255,216,,,607,295,2004,1288,1760,279,764,,,406,816,2384,1479,750,944,221,236,685,,,736,1139,185,14,385,575,,,604,252,,296,1058,625,
20/02/2019,0,0,1138,4698,248,180,,,569,278,2059,1106,1522,239,727,,,370,844,2205,1325,672,822,182,238,661,,,644,1181,133,24,336,509,,,491,218,,348,1052,483,
21/02/2019,0,0,939,4436,138,174,,,473,270,1925,1030,1524,189,609,,,267,821,2124,1289,673,756,176,236,732,,,550,1078,104,10,334,463,,,78,238,,214,1029,474,
22/02/2019,586,1262,890,4035,156,139,,,478,230,1623,1633,1494,188,542,,,249,854,1961,953,596,609,177,190,716,,,567,875,625,20,250,426,,,137,181,,292,766,505,
23/02/2019,1267,2296,1119,2586,352,132,,,1334,279,809,692,1376,159,191,,,280,728,2927,936,1150,752,248,141,666,,,551,684,345,10,112,221,,,218,175,,290,536,718,
24/02/2019,1645,2822,1371,3088,320,169,,,646,351,1076,892,1452,164,228,,,375,835,3339,1318,917,1187,303,237,654,,,630,936,328,7,136,296,,,102,210,,311,648,939,
25/02/2019,1576,3427,1243,3827,294,161,,,709,258,1983,2764,1228,246,658,,,312,507,2237,1082,738,647,217,160,713,,,769,1140,422,15,344,644,,,60,157,,603,1347,80,
26/02/2019,1659,4366,1346,5009,364,179,,,743,259,2522,2980,1689,339,695,,,461,834,2491,1415,751,850,243,223,932,,,898,1304,457,19,335,731,,,78,254,,754,1697,4,
27/02/2019,1642,4402,1267,4880,319,166,,,699,279,2361,2917,1653,329,695,,,442,886,2427,1468,842,878,216,166,897,,,848,1298,453,22,340,713,,,141,237,,857,1839,2,
28/02/2019,1528,3603,1210,4164,316,147,,,640,248,2119,2743,1383,290,597,,,395,671,1997,1196,720,714,192,183,690,,,807,1085,504,20,271,579,,,112,217,,762,1503,3,
1/03/2019,1193,3570,1096,4200,251,151,,,585,289,2009,2402,1486,224,550,,,455,830,2004,1121,584,715,202,186,785,,,688,1027,343,15,248,545,,,49,223,,771,1410,1,
2/03/2019,995,1382,1052,1552,490,78,,,1184,208,597,1027,888,153,97,,,281,347,2187,633,1139,535,244,147,304,,,620,454,266,2,66,199,,,67,120,,797,593,1,
3/03/2019,1616,2201,1528,2454,304,133,,,787,328,879,1039,1230,194,170,,,319,658,2482,753,878,1068,296,270,515,,,792,715,285,7,126,213,,,92,176,,3896,643,10,
4/03/2019,1628,4028,1271,4534,319,177,,,716,300,2342,2768,1447,295,676,,,433,531,2431,1395,832,737,260,202,707,,,905,1258,435,17,338,630,,,75,193,,941,1696,3,
5/03/2019,1650,4617,1305,5227,284,172,,,687,302,2619,2684,1737,258,735,,,380,851,2557,1497,789,948,239,226,816,,,832,1448,520,18,383,667,,,136,266,,789,1825,1,
6/03/2019,1488,4207,1166,4789,244,160,,,576,282,2482,2317,1519,261,685,,,428,792,2318,1452,719,846,165,184,851,,,722,1238,406,15,374,665,,,81,247,,652,1739,0,
7/03/2019,1302,3942,1056,4541,153,168,,,602,251,2318,1831,1581,226,630,,,408,692,1969,1355,629,839,155,207,669,,,664,1222,370,13,347,524,,,241,223,,631,1640,2,
8/03/2019,1151,3253,960,3912,219,151,,,455,177,1933,2482,1418,217,546,,,334,759,1951,997,600,720,192,219,681,,,621,1030,302,10,271,557,,,54,180,,618,1384,10,
9/03/2019,1342,2674,1108,2948,396,119,,,1119,287,1034,778,1438,147,194,,,330,796,2466,1066,1137,965,226,168,812,,,684,880,352,17,126,222,,,110,204,,678,889,1,
