Time,"A001, Bicentennial Bikeway, Auchenflower Pedestrian","A001, Bicentennial Bikeway, Auchenflower Cyclist","A019, Bicentennial Bikeway, Milton Pedestrian","A019, Bicentennial Bikeway, Milton Cyclist","A002, Bishop Street, Kelvin Grove Pedestrian","A002, Bishop Street, Kelvin Grove Cyclist","A023, Botanic Gardens, City Pedestrian","A023, Botanic Gardens, City Cyclist","A003, Ekibin Park, Greenslopes Pedestrian","A003, Ekibin Park, Greenslopes Cyclist","A004S, Eleanor Schonell Br Cyclists, St Lucia","A004N, Eleanor Schonell Br Peds, St Lucia","A005W, Go Between Br Cyclists, South Brisbane","A006, Granville St Bridge, Herston Pedestrian","A006, Granville St Bridge, Herston Cyclist","A020, Gympie Rd (Marchant Park), Chermside Pedestrian","A020, Gympie Rd (Marchant Park), Chermside Cyclist","A007, Jack Pesch Bridge, Indooroopilly Pedestrian","A007, Jack Pesch Bridge, Indooroopilly Cyclist","A008, Kangaroo Point Bikeway, Kangaroo Point Pedestrian","A008, Kangaroo Point Bikeway, Kangaroo Point Cyclist","A009, Kedron Brook Bikeway, Lutwyche Pedestrian","A009, Kedron Brook Bikeway, Lutwyche Cyclist","A010, Kedron Brook Bikeway, Mitchelton Pedestrian","A010, Kedron Brook Bikeway, Mitchelton Cyclist","A011, Lambert Rd, Indooroopilly","A021, Lores Bonney Riverwalk, Hamilton Pedestrian","A021, Lores Bonney Riverwalk, Hamilton Cyclist","A018, Macquarie Street, St Lucia Pedestrian","A018, Macquarie Street, St Lucia Cyclist","A017, Norman Creek Bridge, Norman Park Pedestrian","A017, Norman Creek Bridge, Norman Park Cyclist","A012, North Brisbane Bway (Mann Park), Windsor Pedestrian","A012, North Brisbane Bway (Mann Park), Windsor Cyclist","A013, Riverwalk, Newfarm Pedestrian","A013, Riverwalk, Newfarm Cyclist","A014, Schulz Canal Bridge, Nundah Pedestrian","A014, Schulz Canal Bridge, Nundah Cyclist","A022, Stanley Street, South Brisbane","A016E, Story Bridge East, Kangaroo Point Pedestrian","A016E, Story Bridge East, Kangaroo Point Cyclist","A016W, Story Bridge West, Kangaroo Point Pedestrian","A016W, Story Bridge West, Kangaroo Point Cyclist","A024, Land Bridge ICB, Spring Hill Pedestrian","A024, Land Bridge ICB, Spring Hill Cyclist","A025, Maritime Museum, South Brisbane Pedestrian","A025, Maritime Museum, South Brisbane Cyclist","A026, Annerley Rd, South Brisbane","A027, Kurilpa Bridge Tank Street, Brisbane City","A101 :Bicentennial Bikeway, A-flower Land St Tunnel :Pedestrian","A101 :Bicentennial Bikeway, A-flower Land St Tunnel :Cyclist","A102 :Land Street Tunnel, Auchenflower :Pedestrian","A102 :Land Street Tunnel, Auchenflower :Cyclist","A103 :Bridge St, Wooloowin :Cyclist"
1/01/2020,1334,1814,1334,1814,147,73,0,1618,603,295,0,534,963,126,115,74,13,322,414,2569,910,635,722,213,164,0,1152,630,536,460,79,10,121,137,,,143,87,417,,,954,352,,,,,,,327,2311,,1352,
2/01/2020,1389,2749,1389,2749,200,109,0,1664,765,242,0,673,1186,160,280,84,35,429,519,2354,1098,818,833,232,179,0,1043,720,578,677,100,20,287,336,,,611,166,668,,,576,450,,,,,,,468,4000,,2091,
3/01/2020,1324,2935,1324,2935,183,121,0,1725,691,302,0,639,1256,163,300,71,19,513,751,2387,1104,650,867,255,184,0,1103,816,625,692,94,23,248,310,,,1072,148,711,,,505,517,,,,,,,463,3704,,2121,
4/01/2020,1277,2388,1277,2388,324,92,0,1588,1211,291,0,523,1167,160,200,106,20,351,650,2624,996,1189,878,265,215,0,1148,771,606,648,110,4,151,213,,,417,146,600,,,666,320,,,,,,,426,2943,,1698,
5/01/2020,1646,2808,1646,2808,198,116,0,2107,733,406,0,524,1304,127,181,118,15,371,739,3058,1203,841,1072,278,220,0,1357,1007,617,804,98,11,205,207,,,220,133,596,,,741,389,,,,,,,542,3623,,2213,
6/01/2020,1848,3384,1848,3384,225,140,0,2015,872,282,0,1123,1381,216,604,90,40,283,453,2315,1257,852,726,267,233,0,1192,591,669,778,81,18,447,583,,,523,134,969,,,596,609,,,,,,,633,4227,,2784,
7/01/2020,1774,4126,1774,4126,277,183,0,2421,835,285,0,1145,1718,240,698,96,47,398,722,2606,1397,902,921,254,247,0,1281,807,653,950,90,34,465,595,,,345,161,1058,,,566,682,,,,,,,677,5398,,3514,
8/01/2020,1673,4078,1673,4078,314,175,0,2328,741,264,0,1040,1609,239,724,102,41,376,759,2415,1359,793,808,208,224,0,1121,735,677,997,135,23,439,619,,,610,192,1094,,,568,666,,,,,,,738,5273,,3529,
9/01/2020,1544,3908,1544,3908,227,139,0,2238,718,315,0,935,1542,241,663,82,21,412,690,2290,1296,716,820,256,231,0,1089,758,678,966,82,23,430,597,,,269,215,1083,,,622,671,,,,,,,694,4922,,3279,
10/01/2020,1299,3837,1299,3837,182,180,0,2191,546,292,0,820,1671,181,561,65,22,436,922,2161,1253,655,778,229,231,0,1048,747,527,922,62,31,340,533,,,167,204,982,,,512,647,,,,,,,615,4908,,2931,
11/01/2020,875,2619,875,2619,221,89,0,1589,1151,286,0,430,1287,91,197,68,34,304,807,2210,951,1118,971,207,174,0,968,782,447,759,18,7,168,203,,,90,151,547,,,548,354,,,,,,,369,3363,,1940,
12/01/2020,1393,1814,1393,1814,271,109,0,1418,1018,366,0,705,883,169,124,73,14,282,412,2975,846,892,827,284,162,0,1375,713,661,577,18,12,132,157,,,328,128,500,,,934,301,,,,,,,318,2195,,1165,
13/01/2020,1739,3982,1739,3982,335,191,0,2260,999,318,0,1404,1453,348,709,105,36,441,469,2578,1417,850,796,296,247,0,1405,739,707,885,83,34,554,585,,,272,212,1040,,,764,673,,,,,,,436,4955,,3373,
14/01/2020,1690,4276,1690,4276,252,171,0,2257,989,310,0,1426,1672,268,659,89,33,471,711,2594,1371,904,866,313,248,0,1448,771,709,931,88,30,535,593,,,88,224,1114,,,648,709,,,,,,,518,5461,,3622,
15/01/2020,1628,3975,1628,3975,250,165,0,2172,810,317,0,1450,1599,250,630,92,42,409,655,2366,1261,671,755,274,238,0,1175,729,735,839,67,33,546,625,,,213,169,1064,,,608,645,,,,,,,459,4944,,3311,
16/01/2020,1146,3133,1146,3133,281,150,0,1881,818,203,0,1390,1291,257,591,86,23,393,422,1688,1046,639,609,226,183,0,997,555,570,693,24,26,500,563,,,703,119,898,,,610,584,,,,,,,500,3927,,2754,
17/01/2020,1092,2835,1092,2835,189,129,0,1633,559,227,0,1257,1267,198,469,62,23,308,472,1709,795,484,504,191,198,0,839,435,554,604,30,11,343,370,,,111,90,761,,,508,456,,,,,,,434,3407,,2213,
18/01/2020,809,972,809,972,492,59,2423,721,527,202,0,572,559,247,82,44,14,,,1724,453,581,381,255,111,81,791,336,451,265,30,11,113,103,,,90,18,336,,,481,220,,,,,,,242,1099,,620,
19/01/2020,1584,2116,1584,2116,284,132,4699,1533,709,307,0,940,1018,194,141,128,29,,,2999,981,736,887,225,186,443,1180,923,693,537,56,15,148,237,,,604,166,547,,,906,330,,,,,,,443,2866,,1509,
20/01/2020,1339,3424,1339,3424,232,153,3593,1891,599,244,0,1301,1317,219,640,85,28,,,1777,1134,495,605,181,200,555,780,639,594,705,19,19,383,683,,,75,117,952,,,466,584,,,,,,,495,4324,,2893,
21/01/2020,1237,3585,1237,3585,329,153,3895,2040,760,281,0,1237,1452,292,589,87,35,,,2004,1174,751,648,214,166,588,998,687,649,806,426,24,427,639,,,351,202,1005,,,716,664,,,,,,,495,4454,,3005,
22/01/2020,1245,4117,1245,4117,252,147,3913,2227,585,259,0,1146,1644,214,669,82,23,,,1795,1348,603,748,179,214,756,838,733,658,853,283,16,262,704,,,777,215,1120,,,508,623,,,,,,,673,5195,,3412,
23/01/2020,1203,3594,1203,3594,278,164,3848,2091,596,261,0,1368,1524,265,562,81,26,,,1651,1116,675,684,147,195,708,873,724,586,816,221,18,259,601,,,174,113,1036,,,449,635,,,,,,,536,4426,,2900,
24/01/2020,1022,3426,1022,3426,178,128,3666,1924,484,264,0,1144,1579,211,500,49,19,,,1520,1120,521,644,188,160,634,780,636,554,753,212,23,207,567,,,109,145,911,,,391,600,,,,,,,508,4398,,2704,
25/01/2020,952,1774,952,1774,453,113,4145,1295,820,215,0,497,1019,163,162,65,14,,,1951,777,1168,776,200,121,385,929,692,552,439,111,7,135,230,,,55,103,503,,,446,321,,,,,,,266,2254,,1145,
26/01/2020,1185,2489,1185,2489,239,126,4780,1838,597,333,0,566,1161,161,189,58,13,,,2436,977,629,1011,235,218,444,1043,977,556,624,185,15,147,287,,,145,150,643,,,629,358,,,,,,,465,3071,,1694,
27/01/2020,1600,2602,1600,2602,336,171,1204,563,696,335,0,727,1292,213,226,86,24,,,2687,1216,875,1309,289,262,450,1422,1003,667,647,233,18,187,278,,,78,60,571,,,541,353,,,,,,,400,3260,,1904,
28/01/2020,1439,3317,1439,3317,346,142,,,794,241,,1343,1405,288,504,111,21,,,1958,1116,713,693,206,171,456,1001,573,606,684,403,37,276,555,,,37,58,875,,,458,590,,,,,,,457,4170,,2818,
29/01/2020,1366,4313,1366,4313,316,181,,,684,285,,1129,1755,233,736,75,24,,,1976,1401,747,923,188,220,703,1088,870,634,930,392,34,270,782,,,148,115,1160,,,489,744,,,,,,,622,5504,,3664,
30/01/2020,1408,4171,1408,4171,290,158,,,722,258,,1291,1648,237,691,69,26,,,1908,1341,756,883,194,210,768,1070,800,605,905,422,33,326,711,,,753,239,1182,,,415,677,,,,,,,685,5305,,3605,
31/01/2020,1133,4066,1133,4066,307,166,,,566,273,,1256,1836,291,571,62,16,,,1782,1277,643,908,237,256,891,836,710,687,931,388,34,264,544,,,1494,113,1052,,,475,614,,,,,,,585,5243,,3229,
1/02/2020,1212,2631,1212,2631,519,130,,,1229,267,,584,1305,148,181,68,10,,,2336,1031,1180,937,214,186,688,984,872,726,662,229,6,137,269,,,1356,80,660,,,649,359,,,,,,,404,3552,,1939,
2/02/2020,1456,2819,1456,2819,242,138,,,534,331,,581,1217,180,169,91,26,,,2845,1259,673,1174,235,214,727,1079,1099,591,758,184,13,135,274,,,1926,422,592,,,779,406,,,,,,,507,3700,,2036,
3/02/2020,1391,3740,1391,3740,231,177,,,576,293,,808,1395,238,707,80,25,,,1692,1303,659,740,184,167,589,904,705,530,797,354,29,261,645,,,1466,189,1069,,,463,685,,,,,,,742,4655,,3151,
4/02/2020,1091,3869,1091,3869,375,160,,,738,233,,1634,1567,302,662,65,20,,,1870,1179,682,646,219,159,727,778,620,708,832,360,38,287,582,,,557,94,1044,,,668,680,,,,,,,598,4870,,3259,
5/02/2020,1057,2838,1057,2838,346,132,,1554,780,198,,1481,1159,267,482,72,19,,,1715,1033,590,565,160,114,584,784,499,715,656,325,23,292,439,,,251,46,883,,,715,570,,,,,,,209,1460,,1535,
6/02/2020,158,727,158,727,69,29,,351,54,19,,682,273,70,158,20,5,,,259,179,177,41,21,26,120,92,107,177,125,35,13,44,134,,,15,32,253,,,153,166,,,,,,,,,,,
